timestamp,demand_mw,actual_dispatch_mw,optimized_dispatch_mw,actual_cost_proxy_usd,optimized_cost_proxy_usd,actual_renewable_mwh,optimized_renewable_mwh,actual_total_mwh,optimized_total_mwh,unserved_mw,actual_renewable_share,optimized_renewable_share,cost_proxy_saving_usd
2026-06-06 15:45:00,1403.1799999999998,1538.1,1445.2754,16401.9375,11807.86175,102.4125,181.17350000000002,384.525,361.31885,0.0,0.26633508874585526,0.5014227738187477,4594.07575
2026-06-06 16:00:00,1397.08,1527.51,1438.9924,16332.130000000001,11807.095500000001,103.1,179.461,381.8775,359.7481,0.0,0.2699818659124981,0.49885183549266837,4525.0345
2026-06-06 16:15:00,1379.06,1515.17,1420.4318000000003,16255.352499999999,11695.887250000003,102.6075,176.58100000000002,378.7925,355.1079500000001,0.0,0.2708804952579578,0.49726005852586513,4559.465249999996
2026-06-06 16:30:00,1368.09,1499.82,1409.1327,16160.83,11614.024625000002,101.5225,175.11100000000002,374.955,352.283175,0.0,0.27075915776559856,0.49707454805356516,4546.805374999998
2026-06-06 16:45:00,1356.75,1479.09,1397.4525000000003,16098.565,11715.171875000004,98.155,169.876,369.7725,349.3631250000001,0.0,0.2654469978162249,0.4862447918623351,4383.393124999997
2026-06-06 17:00:00,1348.75,1468.49,1389.2125,16133.9475,11742.121875,97.0575,167.07100000000003,367.1225,347.303125,0.0,0.2643736082642715,0.4810523947920135,4391.8256249999995
2026-06-06 17:15:00,1327.3000000000002,1455.73,1367.1190000000004,16140.8575,11595.461250000004,94.76,163.9285,363.9325,341.7797500000001,0.0,0.2603779547031386,0.47963198521855077,4545.396249999996
2026-06-06 17:30:00,1333.14,1459.15,1373.1342000000004,16175.65,11701.795250000005,97.05499999999999,163.45600000000002,364.7875,343.2835500000001,0.0,0.26605900695610457,0.4761544792927012,4473.854749999995
2026-06-06 17:45:00,1370.55,1470.32,1411.6665000000005,16272.45,12278.114375000006,99.1725,162.526,367.58,352.9166250000001,0.0,0.2697984112302084,0.46052236842058647,3994.3356249999943
2026-06-06 18:00:00,1462.85,1519.93,1506.7355000000005,16507.3675,13583.813125000006,111.72749999999999,162.556,379.9825,376.6838750000001,0.0,0.29403327784832195,0.4315448862789785,2923.5543749999943
2026-06-06 18:15:00,1512.33,1601.72,1557.6999000000005,17289.1825,14355.698625000006,121.5125,161.13350000000003,400.43,389.42497500000013,0.0,0.3034550358364758,0.4137728968204979,2933.4838749999926
2026-06-06 18:30:00,1528.56,1649.63,1574.4168000000004,17535.2,14660.056000000006,133.9575,159.64350000000002,412.4075,393.6042000000001,0.0,0.3248182925868225,0.4055939951860269,2875.143999999995
2026-06-06 18:45:00,1521.09,1669.68,1566.7227000000005,17718.8125,14493.887125000005,136.78,160.85100000000003,417.42,391.6806750000001,0.0,0.32767955536390203,0.41066871629548735,3224.9253749999953
2026-06-06 19:00:00,1507.91,1674.68,1553.1473000000005,17670.6775,14270.475375000007,139.08,161.586,418.67,388.28682500000014,0.0,0.3321948073661834,0.4161511274558439,3400.2021249999943
2026-06-06 19:15:00,1498.5500000000002,1666.6200000000001,1543.5065000000009,17619.54,14091.53937500001,136.75,162.51350000000002,416.65500000000003,385.8766250000002,0.0,0.328209189857316,0.4211540411394443,3528.0006249999915
2026-06-06 19:30:00,1494.2599999999998,1657.86,1539.0878000000005,17545.895,14064.532250000006,135.19,161.8385,414.465,384.7719500000001,0.0,0.3261795326505254,0.42060888274210206,3481.362749999995
2026-06-06 19:45:00,1479.21,1653.31,1523.5863000000006,17501.42,13808.136625000008,134.7475,162.70350000000002,413.3275,380.89657500000015,0.0,0.32600661702886935,0.42715926232731277,3693.28337499999
2026-06-06 20:00:00,1450.06,1646.99,1493.5618000000002,17383.82,13380.799750000002,135.0475,162.9935,411.7475,373.39045000000004,0.0,0.3279862051378576,0.43652294802933495,4003.0202499999978
2026-06-06 20:15:00,1479.22,1599.52,1523.5966000000005,17329.265,13832.403250000007,118.9525,162.22100000000003,399.88,380.89915000000013,0.0,0.2974704911473442,0.42588963509107325,3496.8617499999928
